Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱོད་,ཀྱི་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱོད་,ཀྱི་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,དགེ་,
,གདང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,ད་,
,སྲེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱོད་,ཀྱི་,
,མང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,ཁྱོད་,
,སོ,།,_,།,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,སྲོག་,གཅོད་,
,ཅི་,དགོས,།,_,ཡང་,ཤ་,ཤཱ་,རིའི་,བུ་,སྲོག་,གཅོད་,
,ཐར་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,ཆོས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ཝ་,
,པ་,དང་,མཚུངས,།,_,ཤ་,ཤཱ་,རིའི་,–[179b.7],བུ་,ཚུལ་,
,བསྔགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཚུལ་,ཁྲིམས་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
